Nuclide  InhFastEffDose[Sv/Bq] InhFastThyroid InhFastRedMarrow InhFastLung InhFastSkin ExtDepotGround[(Sv/year)/(Bq/m^2)]             
U-236    0.00000053     0.00000032     0.00000093     0.00000033     0.00000032     2.14E-11
U-238    0.0000005     0.0000003     0.00000091     0.00000031     0.0000003     1.89E-11
U-240    2E-10     0     0     0     0     1.16E-10
Np-237   0.00005     0.0000035     0.0001     0.0000035     0.0000034     8.95E-10
Np-238   3.5E-09     0     0     0     0     1.53E-08
Np-239   1.7E-10     2.3E-11     2.4E-10     6.4E-11     2E-11     5.26E-09
Np-240   4E-11     0     0     0     0     3.24E-08
Np-240m  0     0     0     0     0     1.12E-08
Pu-238   0.00011     0.0000062     0.00018     0.0000063     0.0000062     2.51E-11
Pu-239   0.00012     0.000007     0.00019     0.000007     0.000007     1.1E-11
Pu-240   0.00012     0.000007     0.00019     0.000007     0.000007     2.41E-11
Pu-241   0.0000023     0.00000014     0.0000031     0.00000014     0.00000014     0
Pu-242   0.00011     0     0     0     0     2E-11
Pu-243   3.2E-11     0     0     0     0     8.11E-10
Pu-244   0.00011     0     0     0     0     1.7E-11
Am-241   0.000096     0.0000074     0.00015     0.0000074     0.0000074     8.25E-10
Am-242   0.000000011     0     0     0     0     5.71E-10
Am-242m  0.000092     0     0     0     0     8.03E-11
Am-243   0.000096     0.0000075     0.00015     0.0000075     0.0000074     1.81E-09
Cm-242   0.0000033     0.00000011     0.0000064     0.00000014     0.00000011     2.72E-11
Cm-244   0.000057     0.0000033     0.0001     0.0000034     0.0000033     2.42E-11
Cm-245   0.000099     0     0     0     0     2.35E-09
Cm-246   0.000098     0     0     0     0     2.14E-11
Cm-247   0.00009     0     0     0     0     9.2E-09
Cm-248   0.00036     0     0     0     0     1.72E-11
